Model	Scenario	Unit	2020	2030	2040	2050
REMIND 1.5	AMPERE2-450-NucOff-HST	US$2005/t CO2	8.323	13.557	142.440	240.161
REMIND 1.5	AMPERE2-450-NucOff-LST	US$2005/t CO2	18.301	29.810	114.401	194.932
REMIND 1.5	AMPERE2-450-NucOff-OPT	US$2005/t CO2	27.551	50.461	88.846	152.658
REMIND 1.5	LIMITS-RefPol-450	US$2005/t CO2	1.590	98.130	170.770	292.288
REMIND 1.5	LIMITS-RefPol-450-EE	US$2005/t CO2	1.590	98.130	170.770	292.288
REMIND 1.5	LIMITS-RefPol-450-PC	US$2005/t CO2	1.590	97.319	169.676	290.972
REMIND 1.5	LIMITS-StrPol-450	US$2005/t CO2	17.228	94.023	164.252	281.084
TIAM-ECN	LIMITS-450	US$2005/t CO2	71.000	123.927	216.591	379.581
TIAM-ECN	LIMITS-RefPol-450	US$2005/t CO2	72.843	127.143	222.213	389.433
TIAM-ECN	LIMITS-RefPol-450-EE	US$2005/t CO2	72.838	127.126	222.268	389.404
TIAM-ECN	LIMITS-RefPol-450-PC	US$2005/t CO2	72.839	127.132	222.244	389.422
TIAM-ECN	LIMITS-StrPol-450	US$2005/t CO2	69.308	120.974	211.431	370.537
TIAM-WORLD 2012.2	EMF27-450-Conv	US$2005/t CO2	138.166	242.424	430.867	790.605
TIAM-WORLD 2012.2	EMF27-450-EERE	US$2005/t CO2	124.266	217.572	384.897	664.919
TIAM-WORLD 2012.2	EMF27-450-FullTech	US$2005/t CO2	100.339	182.452	313.249	497.406
TIAM-WORLD 2012.2	EMF27-450-LimBio	US$2005/t CO2	111.225	196.778	354.224	672.657
TIAM-WORLD 2012.2	EMF27-450-LimSW	US$2005/t CO2	104.235	189.916	319.796	507.486
TIAM-WORLD 2012.2	EMF27-450-LowEI	US$2005/t CO2	82.237	147.482	261.805	449.606
TIAM-WORLD 2012.2	EMF27-450-NoCCS	US$2005/t CO2	141.343	248.648	443.778	736.529
TIAM-WORLD 2012.2	EMF27-450-NucOff	US$2005/t CO2	104.307	190.518	321.315	497.941
WITCH_AMPERE	AMPERE2-450-FullTech-HST	US$2005/t CO2	7.082	12.659	689.242	1264.728
WITCH_AMPERE	AMPERE2-450-FullTech-LST	US$2005/t CO2	12.708	31.396	518.831	981.222
WITCH_AMPERE	AMPERE2-450-FullTech-OPT	US$2005/t CO2	62.167	134.860	271.798	495.446
WITCH_AMPERE	AMPERE2-450-LowEI-HST	US$2005/t CO2	2.505	2.309	355.747	657.863
WITCH_AMPERE	AMPERE2-450-LowEI-LST	US$2005/t CO2	9.093	12.180	258.686	485.956
WITCH_AMPERE	AMPERE2-450-LowEI-OPT	US$2005/t CO2	58.514	106.122	207.050	292.224
WITCH_AMPERE	AMPERE2-450-NucOff-HST	US$2005/t CO2	15.632	24.247	698.869	1283.300
WITCH_AMPERE	AMPERE2-450-NucOff-LST	US$2005/t CO2	18.849	47.461	533.993	1002.372
WITCH_AMPERE	AMPERE2-450-NucOff-OPT	US$2005/t CO2	77.064	186.542	359.069	548.723
WITCH_EMF27	EMF27-450-Conv	US$2005/t CO2	65.470	144.693	290.258	546.150
WITCH_EMF27	EMF27-450-EERE	US$2005/t CO2	42.883	96.472	206.680	404.681
WITCH_EMF27	EMF27-450-FullTech	US$2005/t CO2	41.429	91.026	189.038	350.422
WITCH_EMF27	EMF27-450-LimBio	US$2005/t CO2	65.259	144.333	289.784	545.521
WITCH_EMF27	EMF27-450-LimSW	US$2005/t CO2	41.567	91.306	189.408	350.874
WITCH_EMF27	EMF27-450-LowEI	US$2005/t CO2	17.793	43.142	92.170	175.590
WITCH_EMF27	EMF27-450-NucOff	US$2005/t CO2	43.627	97.219	199.412	368.634
WITCH_LIMITS	LIMITS-450	US$2005/t CO2	84.871	179.199	362.334	635.372
WITCH_LIMITS	LIMITS-RefPol-450	US$2005/t CO2	6.599	241.504	480.594	902.718
WITCH_LIMITS	LIMITS-RefPol-450-EE	US$2005/t CO2	6.599	239.967	478.622	893.849
WITCH_LIMITS	LIMITS-RefPol-450-PC	US$2005/t CO2	6.599	235.357	471.340	888.346
WITCH_LIMITS	LIMITS-StrPol-450	US$2005/t CO2	13.073	227.737	464.247	872.224
WITCH_RECIPE	450CO2-fixNUC	US$2005/t CO2	21.347	69.220	187.331	457.897
WITCH_RECIPE	450CO2-fixRET	US$2005/t CO2	17.305	79.478	283.525	668.068
WITCH_RECIPE	450CO2-noCCS	US$2005/t CO2	29.854	75.005	221.578	497.204
WITCH_RECIPE	450CO2-noCCSfixNUC	US$2005/t CO2	33.068	82.373	235.532	521.305
WITCH_RECIPE	450CO2nte-DEF	US$2005/t CO2	19.616	69.220	182.318	447.938
WITCH_ROSE	ROSE 450 DEF	US$2005/t CO2	46.430	104.920	217.980	419.160
WITCH_ROSE	ROSE 450 FS Gr	US$2005/t CO2	48.220	112.120	241.720	492.290
WITCH_ROSE	ROSE 450 FS Gr SL Con	US$2005/t CO2	50.920	107.170	216.250	405.210
WITCH_ROSE	ROSE 450 HI Coal	US$2005/t CO2	46.590	105.270	218.470	419.730
WITCH_ROSE	ROSE 450 HI Fos	US$2005/t CO2	47.770	108.360	226.230	436.010
WITCH_ROSE	ROSE 450 HI Pop	US$2005/t CO2	53.510	107.630	201.930	356.030
WITCH_ROSE	ROSE 450 LO Fos	US$2005/t CO2	45.800	103.890	216.020	415.670
WITCH_ROSE	ROSE 450 LO Oil	US$2005/t CO2	46.700	105.520	218.920	420.440
WITCH_ROSE	ROSE 450 SL Gr	US$2005/t CO2	45.490	101.160	199.720	366.000
