Model	Scenario	Unit	2020	2030	2040	2050
GCAM 3.0	EMF27-450-Conv	US$2005/t CO2	40.187	65.460	106.627	173.685
GCAM 3.0	EMF27-450-EERE	US$2005/t CO2	40.176	65.442	106.598	173.637
GCAM 3.0	EMF27-450-FullTech	US$2005/t CO2	22.106	36.008	58.653	95.539
GCAM 3.0	EMF27-450-LimBio	US$2005/t CO2	37.156	60.524	98.587	160.587
GCAM 3.0	EMF27-450-NoCCS	US$2005/t CO2	45.304	73.796	120.206	195.804
GCAM 3.0	ROSE 450 DEF	US$2005/t CO2	39.220	63.880	104.060	169.510
GCAM 3.0	ROSE 450 FS Gr	US$2005/t CO2	44.700	72.810	118.600	193.200
GCAM 3.0	ROSE 450 HI Coal	US$2005/t CO2	37.360	60.860	99.130	161.480
GCAM 3.0	ROSE 450 HI Fos	US$2005/t CO2	40.020	65.190	106.200	172.990
GCAM 3.0	ROSE 450 HI Gas	US$2005/t CO2	39.350	64.100	104.410	170.080
GCAM 3.0	ROSE 450 HI Pop	US$2005/t CO2	47.810	77.880	126.860	206.640
GCAM 3.0	ROSE 450 LO Fos	US$2005/t CO2	35.020	57.040	92.920	151.360
GCAM 3.0	ROSE 450 LO Oil	US$2005/t CO2	37.730	61.450	100.110	163.070
GCAM 3.0	ROSE 450 SL Gr	US$2005/t CO2	33.950	55.300	90.080	146.730
GCAM 3.1	LIMITS-450	US$2005/t CO2	22.582	38.891	63.856	97.478
GCAM 3.1	LIMITS-RefPol-450	US$2005/t CO2	15.212	39.280	64.495	98.453
GCAM 3.1	LIMITS-RefPol-450-EE	US$2005/t CO2	15.212	39.280	64.495	98.453
GCAM 3.1	LIMITS-RefPol-450-PC	US$2005/t CO2	15.212	39.280	64.495	98.453
GCAM 3.1	LIMITS-StrPol-450	US$2005/t CO2	26.568	38.891	63.856	97.478
IMACLIM v1.1	AMPERE2-450-FullTech-LST	US$2005/t CO2	331.800	86.670	1314.000	5758.000
IMACLIM v1.1	AMPERE2-450-FullTech-OPT	US$2005/t CO2	557.800	377.700	1710.000	2023.000
IMACLIM v1.1	AMPERE2-450-LowEI-LST	US$2005/t CO2	143.100	33.250	800.600	3385.000
IMACLIM v1.1	AMPERE2-450-LowEI-OPT	US$2005/t CO2	296.700	56.400	1435.000	2066.000
IMACLIM v1.1	AMPERE2-450-NucOff-LST	US$2005/t CO2	377.100	107.000	1225.000	2043.000
IMACLIM v1.1	AMPERE2-450-NucOff-OPT	US$2005/t CO2	494.300	91.380	1744.000	1962.000
IMACLIM v1.1	AMPERE3-450	US$2005/t CO2	242.200	393.500	807.900	1416.000
IMACLIM v1.1	AMPERE3-450P-CE	US$2005/t CO2	176.900	201.000	733.100	1422.000
IMACLIM v1.1	EMF27-450-FullTech	US$2005/t CO2	231.800	389.000	575.900	852.400
IMACLIM v1.1	EMF27-450-LimBio	US$2005/t CO2	357.000	600.900	889.500	1317.000
IMACLIM v1.1	EMF27-450-LimSW	US$2005/t CO2	231.500	388.400	575.000	851.200
IMACLIM v1.1	EMF27-450-LowEI	US$2005/t CO2	218.800	366.900	543.100	803.900
IMACLIM v1.1	EMF27-450-NucOff	US$2005/t CO2	237.200	398.100	589.300	872.300
IMAGE 2.4	AMPERE2-450-FullTech-OPT	US$2005/t CO2	58.599	78.715	80.992	111.603
IMAGE 2.4	AMPERE2-450-LimSW-OPT	US$2005/t CO2	57.503	81.000	81.449	109.740
IMAGE 2.4	AMPERE2-450-LowEI-HST	US$2005/t CO2	8.938	13.604	193.298	96.691
IMAGE 2.4	AMPERE2-450-LowEI-LST	US$2005/t CO2	20.091	17.994	105.090	105.814
IMAGE 2.4	AMPERE2-450-LowEI-OPT	US$2005/t CO2	38.372	49.590	56.144	95.593
IMAGE 2.4	AMPERE2-450-NucOff-OPT	US$2005/t CO2	66.339	78.678	89.779	120.490
IMAGE 2.4	EMF27-450-FullTech	US$2005/t CO2	44.011	68.765	72.133	125.102
IMAGE 2.4	EMF27-450-LimSW	US$2005/t CO2	39.803	69.935	75.047	124.149
IMAGE 2.4	EMF27-450-LowEI	US$2005/t CO2	17.429	48.646	64.364	88.211
IMAGE 2.4	EMF27-450-NucOff	US$2005/t CO2	54.356	77.565	81.979	139.796
IMAGE 2.4	LIMITS-RefPol-450	US$2005/t CO2	0.000	52.129	83.260	96.904
IMAGE 2.4	LIMITS-RefPol-450-EE	US$2005/t CO2	0.000	51.258	80.276	89.197
IMAGE 2.4	LIMITS-RefPol-450-PC	US$2005/t CO2	0.000	52.129	83.260	96.904
IMAGE 2.4	LIMITS-StrPol-450	US$2005/t CO2	0.000	51.242	64.631	100.519
IMAGE 2.4	LIMITS-StrPol-500	US$2005/t CO2	0.000	33.708	43.225	65.452
MERGE-ETL_2011	AMPERE2-450-Conv-OPT	US$2005/t CO2	89.610	144.700	232.180	367.070
MERGE-ETL_2011	AMPERE2-450-EERE-OPT	US$2005/t CO2	82.470	133.500	214.000	338.600
MERGE-ETL_2011	AMPERE2-450-FullTech-HST	US$2005/t CO2	9.960	10.130	2751.760	4184.020
MERGE-ETL_2011	AMPERE2-450-FullTech-LST	US$2005/t CO2	14.220	30.150	169.710	265.520
MERGE-ETL_2011	AMPERE2-450-FullTech-OPT	US$2005/t CO2	37.180	60.500	97.330	153.840
MERGE-ETL_2011	AMPERE2-450-LimBio-OPT	US$2005/t CO2	50.280	81.670	131.220	207.460
MERGE-ETL_2011	AMPERE2-450-LimSW-HST	US$2005/t CO2	10.510	11.010	4866.000	7218.000
MERGE-ETL_2011	AMPERE2-450-LimSW-LST	US$2005/t CO2	13.270	30.770	536.080	822.540
MERGE-ETL_2011	AMPERE2-450-LimSW-OPT	US$2005/t CO2	65.870	106.640	171.130	270.480
MERGE-ETL_2011	AMPERE2-450-LowEI-HST	US$2005/t CO2	5.810	4.900	351.900	553.030
MERGE-ETL_2011	AMPERE2-450-LowEI-LST	US$2005/t CO2	6.970	11.810	115.470	182.530
MERGE-ETL_2011	AMPERE2-450-LowEI-OPT	US$2005/t CO2	25.470	41.690	67.420	107.330
MERGE-ETL_2011	AMPERE2-450-NoCCS-OPT	US$2005/t CO2	83.210	134.310	214.310	336.930
MERGE-ETL_2011	AMPERE2-450-NucOff-LST	US$2005/t CO2	36.330	38.460	198.040	308.990
MERGE-ETL_2011	AMPERE2-450-NucOff-OPT	US$2005/t CO2	42.530	68.950	110.770	175.430
MERGE-ETL_2011	AMPERE3-450	US$2005/t CO2	36.820	59.970	96.550	152.650
MERGE-ETL_2011	AMPERE3-450P-CE	US$2005/t CO2	18.100	15.940	83.280	152.650
MERGE-ETL_2011	AMPERE3-450P-EU	US$2005/t CO2	7.660	3.640	77.870	152.650
MERGE-ETL_2011	AMPERE3-CF450	US$2005/t CO2	37.180	60.500	97.330	153.840
MERGE_EMF27	EMF27-450-Conv	US$2005/t CO2	236.333	389.262	622.347	1010.980
MERGE_EMF27	EMF27-450-FullTech	US$2005/t CO2	69.855	115.765	187.832	302.605
MERGE_EMF27	EMF27-450-LimBio	US$2005/t CO2	216.469	357.121	572.470	929.913
MERGE_EMF27	EMF27-450-LimSW	US$2005/t CO2	74.998	124.189	201.385	323.808
MERGE_EMF27	EMF27-450-LowEI	US$2005/t CO2	60.475	100.602	164.450	266.318
MERGE_EMF27	EMF27-450-NucOff	US$2005/t CO2	76.481	126.415	204.850	329.616
MESSAGE V.3	GEA Efficiency_450_Illustrative	US$2005/t CO2	14.493	23.608	38.455	62.639
MESSAGE V.3	GEA Efficiency_450_adv.transp_full	US$2005/t CO2	13.403	21.833	35.563	57.928
MESSAGE V.3	GEA Efficiency_450_adv.transp_limbe	US$2005/t CO2	17.723	28.869	47.025	76.598
MESSAGE V.3	GEA Efficiency_450_adv.transp_limbe_limir	US$2005/t CO2	41.220	67.143	109.368	178.149
MESSAGE V.3	GEA Efficiency_450_adv.transp_limir	US$2005/t CO2	20.779	33.846	55.132	89.803
MESSAGE V.3	GEA Efficiency_450_adv.transp_nbecs	US$2005/t CO2	19.368	31.549	51.390	83.709
MESSAGE V.3	GEA Efficiency_450_adv.transp_nbecs_nsink_limbe	US$2005/t CO2	64.239	104.638	170.444	277.636
MESSAGE V.3	GEA Efficiency_450_adv.transp_noccs	US$2005/t CO2	26.806	43.665	71.126	115.856
MESSAGE V.3	GEA Efficiency_450_adv.transp_noccs_nonuc	US$2005/t CO2	40.061	65.256	106.295	173.143
MESSAGE V.3	GEA Efficiency_450_adv.transp_nsink	US$2005/t CO2	21.966	35.781	58.283	94.936
MESSAGE V.3	GEA Efficiency_450_conv.transp_full	US$2005/t CO2	15.785	25.713	41.884	68.224
MESSAGE V.3	GEA Efficiency_450_conv.transp_limbe	US$2005/t CO2	21.260	34.630	56.409	91.884
MESSAGE V.3	GEA Efficiency_450_conv.transp_limbe_limir	US$2005/t CO2	97.175	158.288	257.835	419.986
MESSAGE V.3	GEA Efficiency_450_conv.transp_limir	US$2005/t CO2	25.532	41.589	67.744	110.348
MESSAGE V.3	GEA Efficiency_450_conv.transp_nbecs	US$2005/t CO2	23.746	38.679	63.004	102.627
MESSAGE V.3	GEA Efficiency_450_conv.transp_nbecs_nsink_limbe	US$2005/t CO2	391.542	637.781	1038.877	1692.222
MESSAGE V.3	GEA Efficiency_450_conv.transp_noccs	US$2005/t CO2	37.145	60.505	98.556	160.537
MESSAGE V.3	GEA Efficiency_450_conv.transp_noccs_nonuc	US$2005/t CO2	69.866	113.804	185.374	301.955
MESSAGE V.3	GEA Efficiency_450_conv.transp_nonuc	US$2005/t CO2	17.084	27.829	45.330	73.838
MESSAGE V.3	GEA Efficiency_450_conv.transp_nsink	US$2005/t CO2	23.642	38.511	62.730	102.181
MESSAGE V.3	GEA Mix_450_Illustrative	US$2005/t CO2	34.427	56.078	91.346	148.792
MESSAGE V.3	GEA Mix_450_adv.transp_full	US$2005/t CO2	21.868	35.620	58.021	94.511
MESSAGE V.3	GEA Mix_450_adv.transp_limbe	US$2005/t CO2	36.827	59.988	97.714	159.166
MESSAGE V.3	GEA Mix_450_adv.transp_limir	US$2005/t CO2	61.022	99.399	161.910	263.735
MESSAGE V.3	GEA Mix_450_adv.transp_nbecs	US$2005/t CO2	39.851	64.912	105.735	172.232
MESSAGE V.3	GEA Mix_450_adv.transp_noccs	US$2005/t CO2	90.250	147.009	239.461	390.057
MESSAGE V.3	GEA Mix_450_adv.transp_nonuc	US$2005/t CO2	29.726	48.421	78.873	128.476
MESSAGE V.3	GEA Mix_450_adv.transp_nsink	US$2005/t CO2	43.576	70.981	115.620	188.334
MESSAGE V.3	GEA Mix_450_conv.transp_limbe	US$2005/t CO2	66.693	108.636	176.956	288.242
MESSAGE V.3	GEA Mix_450_conv.transp_limir	US$2005/t CO2	2128.658	3467.360	5647.964	9199.939
MESSAGE V.3	GEA Mix_450_conv.transp_nbecs	US$2005/t CO2	91.948	149.774	243.966	397.394
MESSAGE V.3	GEA Mix_450_conv.transp_nonuc	US$2005/t CO2	48.412	78.858	128.451	209.233
MESSAGE V.3	GEA Mix_450_conv.transp_nsink	US$2005/t CO2	76.879	125.228	203.984	332.268
MESSAGE V.3	GEA Supply_450_Illustrative	US$2005/t CO2	44.640	72.714	118.444	192.932
MESSAGE V.3	GEA Supply_450_adv.transp_limbe	US$2005/t CO2	75.013	122.188	199.032	324.201
MESSAGE V.3	GEA Supply_450_adv.transp_limir	US$2005/t CO2	2060.284	3355.985	5466.546	8904.427
MESSAGE V.3	GEA Supply_450_adv.transp_nbecs	US$2005/t CO2	90.250	147.009	239.461	390.057
MESSAGE V.3	GEA Supply_450_adv.transp_nonuc	US$2005/t CO2	73.530	119.772	195.096	317.790
MESSAGE V.3	GEA Supply_450_adv.transp_nsink	US$2005/t CO2	87.062	141.815	231.002	376.278
MESSAGE V.3	GEA Supply_450_conv.transp_full	US$2005/t CO2	61.988	100.971	164.471	267.907
MESSAGE V.3	GEA Supply_450_conv.transp_nonuc	US$2005/t CO2	157.526	256.593	417.963	680.818
MESSAGE V.4	AMPERE2-450-Conv-OPT	US$2005/t CO2	47.559	77.469	126.189	205.549
MESSAGE V.4	AMPERE2-450-EERE-OPT	US$2005/t CO2	24.356	39.673	64.623	105.264
MESSAGE V.4	AMPERE2-450-FullTech-HST	US$2005/t CO2	6.954	11.327	108.120	176.116
MESSAGE V.4	AMPERE2-450-FullTech-LST	US$2005/t CO2	17.409	28.357	59.572	97.037
MESSAGE V.4	AMPERE2-450-FullTech-OPT	US$2005/t CO2	19.291	31.423	51.184	83.374
MESSAGE V.4	AMPERE2-450-LimBio-LST	US$2005/t CO2	18.215	29.670	210.568	342.993
MESSAGE V.4	AMPERE2-450-LimBio-OPT	US$2005/t CO2	36.023	58.678	95.580	155.689
MESSAGE V.4	AMPERE2-450-LimSW-HST	US$2005/t CO2	7.427	12.098	158.639	258.407
MESSAGE V.4	AMPERE2-450-LimSW-LST	US$2005/t CO2	18.219	29.677	78.585	128.007
MESSAGE V.4	AMPERE2-450-LimSW-OPT	US$2005/t CO2	23.164	37.732	61.462	100.115
MESSAGE V.4	AMPERE2-450-LowEI-HST	US$2005/t CO2	0.000	0.000	43.216	70.069
MESSAGE V.4	AMPERE2-450-LowEI-LST	US$2005/t CO2	4.808	7.831	31.293	50.932
MESSAGE V.4	AMPERE2-450-LowEI-OPT	US$2005/t CO2	8.877	14.460	23.554	38.366
MESSAGE V.4	AMPERE2-450-NoCCS-OPT	US$2005/t CO2	51.759	84.310	137.332	223.699
MESSAGE V.4	AMPERE2-450-NucOff-HST	US$2005/t CO2	6.932	11.292	118.736	193.409
MESSAGE V.4	AMPERE2-450-NucOff-LST	US$2005/t CO2	17.592	28.655	62.722	102.167
MESSAGE V.4	AMPERE2-450-NucOff-OPT	US$2005/t CO2	20.035	32.636	53.160	86.592
MESSAGE V.4	LIMITS-450	US$2005/t CO2	26.656	43.420	70.726	115.205
MESSAGE V.4	LIMITS-500	US$2005/t CO2	17.082	27.825	45.324	73.827
MESSAGE V.4	LIMITS-Base	US$2005/t CO2	0.000	0.000	0.000	0.000
MESSAGE V.4	LIMITS-RefPol	US$2005/t CO2	27.272	35.589	38.542	37.850
MESSAGE V.4	LIMITS-RefPol-450	US$2005/t CO2	27.272	56.568	92.143	150.091
MESSAGE V.4	LIMITS-RefPol-450-EE	US$2005/t CO2	27.272	59.549	92.231	152.485
MESSAGE V.4	LIMITS-RefPol-450-PC	US$2005/t CO2	27.272	59.644	93.503	150.468
MESSAGE V.4	LIMITS-RefPol-500	US$2005/t CO2	27.272	31.192	50.809	82.762
MESSAGE V.4	LIMITS-RefPol2030-500	US$2005/t CO2	27.272	35.589	100.023	162.927
MESSAGE V.4	LIMITS-StrPol	US$2005/t CO2	58.464	51.854	54.919	52.828
MESSAGE V.4	LIMITS-StrPol-450	US$2005/t CO2	58.464	51.657	84.144	137.061
POLES AMPERE	AMPERE2-450-Conv-HST	US$2005/t CO2	15.739	22.621	2041.653	4089.696
POLES AMPERE	AMPERE2-450-Conv-LST	US$2005/t CO2	26.342	51.064	1340.849	2616.763
POLES AMPERE	AMPERE2-450-Conv-OPT	US$2005/t CO2	15.394	203.962	718.184	1455.300
POLES AMPERE	AMPERE2-450-EERE-OPT	US$2005/t CO2	11.781	525.000	2105.469	3454.500
POLES AMPERE	AMPERE2-450-FullTech-HST	US$2005/t CO2	13.899	19.212	675.000	1277.760
POLES AMPERE	AMPERE2-450-FullTech-LST	US$2005/t CO2	23.269	42.055	576.677	989.379
POLES AMPERE	AMPERE2-450-FullTech-OPT	US$2005/t CO2	13.200	175.000	546.875	735.000
POLES AMPERE	AMPERE2-450-LimBio-HST	US$2005/t CO2	15.429	21.408	1775.565	3453.120
POLES AMPERE	AMPERE2-450-LimBio-LST	US$2005/t CO2	26.081	47.723	1218.953	2378.875
POLES AMPERE	AMPERE2-450-LimBio-OPT	US$2005/t CO2	15.217	198.851	726.797	1281.840
